Company,Location,State,Month,Quarter,PL_Head,Category,Budget,Actual,Salesperson
Company 2,Culver City,California,Oct,Quarter-4,Sales,Sales - Product 3,22675.73696,17006.80272,Bravo
Company 2,Culver City,California,Nov,Quarter-4,Sales,Sales - Product 1,45351.47392,77097.50567,Alpha
Company 2,Culver City,California,Nov,Quarter-4,Sales,Sales - Product 2,22675.73696,20408.16327,Alpha
Company 2,Culver City,California,Nov,Quarter-4,Sales,Sales - Product 3,22675.73696,17006.80272,Bravo
Company 2,Culver City,California,Dec,Quarter-4,Sales,Sales - Product 1,45351.47392,77097.50567,Alpha
Company 2,Culver City,California,Dec,Quarter-4,Sales,Sales - Product 2,22675.73696,20408.16327,Alpha
Company 2,Culver City,California,Dec,Quarter-4,Sales,Sales - Product 3,22675.73696,20408.16327,Bravo
Company 3,Cupertino,California,Jan,Quarter-1,Sales,Sales - Product 1,17006.80272,20408.16327,Alpha
Company 3,Cupertino,California,Jan,Quarter-1,Sales,Sales - Product 2,8503.401361,3401.360544,Alpha
Company 3,Cupertino,California,Jan,Quarter-1,Sales,Sales - Product 3,8503.401361,7227.891156,Bravo
Company 3,Cupertino,California,Feb,Quarter-1,Sales,Sales - Product 1,17006.80272,20408.16327,Alpha
Company 3,Cupertino,California,Feb,Quarter-1,Sales,Sales - Product 2,8503.401361,3401.360544,Alpha
Company 3,Cupertino,California,Feb,Quarter-1,Sales,Sales - Product 3,8503.401361,6802.721088,Bravo
Company 3,Cupertino,California,Mar,Quarter-1,Sales,Sales - Product 1,17006.80272,20408.16327,Alpha
Company 3,Cupertino,California,Mar,Quarter-1,Sales,Sales - Product 2,8503.401361,3401.360544,Alpha
Company 3,Cupertino,California,Mar,Quarter-1,Sales,Sales - Product 3,8503.401361,7312.92517,Bravo
Company 3,Cupertino,California,April,Quarter-2,Sales,Sales - Product 1,17006.80272,16156.46259,Alpha
Company 3,Cupertino,California,April,Quarter-2,Sales,Sales - Product 2,8503.401361,3401.360544,Alpha
Company 3,Cupertino,California,April,Quarter-2,Sales,Sales - Product 3,8503.401361,7653.061224,Bravo
Company 3,Cupertino,California,May,Quarter-2,Sales,Sales - Product 1,17006.80272,16156.46259,Alpha
Company 3,Cupertino,California,May,Quarter-2,Sales,Sales - Product 2,8503.401361,3401.360544,Alpha
Company 3,Cupertino,California,May,Quarter-2,Sales,Sales - Product 3,8503.401361,9353.741497,Bravo
Company 3,Cupertino,California,June,Quarter-2,Sales,Sales - Product 1,17006.80272,16156.46259,Alpha
Company 3,Cupertino,California,June,Quarter-2,Sales,Sales - Product 2,8503.401361,3401.360544,Alpha
Company 3,Cupertino,California,June,Quarter-2,Sales,Sales - Product 3,8503.401361,10204.08163,Bravo
Company 3,Cupertino,California,July,Quarter-3,Sales,Sales - Product 1,17006.80272,16156.46259,Alpha
Company 3,Cupertino,California,July,Quarter-3,Sales,Sales - Product 2,8503.401361,3401.360544,Alpha
Company 3,Cupertino,California,July,Quarter-3,Sales,Sales - Product 3,8503.401361,6377.55102,Bravo
Company 3,Cupertino,California,Aug,Quarter-3,Sales,Sales - Product 1,17006.80272,16156.46259,Alpha
Company 3,Cupertino,California,Aug,Quarter-3,Sales,Sales - Product 2,8503.401361,3401.360544,Alpha
Company 3,Cupertino,California,Aug,Quarter-3,Sales,Sales - Product 3,8503.401361,6377.55102,Bravo
Company 3,Cupertino,California,Sept,Quarter-3,Sales,Sales - Product 1,17006.80272,28911.56463,Alpha
Company 3,Cupertino,California,Sept,Quarter-3,Sales,Sales - Product 2,8503.401361,3401.360544,Alpha
Company 3,Cupertino,California,Sept,Quarter-3,Sales,Sales - Product 3,8503.401361,6377.55102,Bravo
Company 3,Cupertino,California,Oct,Quarter-4,Sales,Sales - Product 1,17006.80272,28911.56463,Alpha
Company 3,Cupertino,California,Oct,Quarter-4,Sales,Sales - Product 2,8503.401361,3401.360544,Alpha
Company 3,Cupertino,California,Oct,Quarter-4,Sales,Sales - Product 3,8503.401361,6377.55102,Bravo
Company 3,Cupertino,California,Nov,Quarter-4,Sales,Sales - Product 1,17006.80272,28911.56463,Alpha
Company 3,Cupertino,California,Nov,Quarter-4,Sales,Sales - Product 2,8503.401361,7653.061224,Alpha
Company 3,Cupertino,California,Nov,Quarter-4,Sales,Sales - Product 3,8503.401361,6377.55102,Bravo
Company 3,Cupertino,California,Dec,Quarter-4,Sales,Sales - Product 1,17006.80272,28911.56463,Alpha
Company 3,Cupertino,California,Dec,Quarter-4,Sales,Sales - Product 2,8503.401361,7653.061224,Alpha
Company 3,Cupertino,California,Dec,Quarter-4,Sales,Sales - Product 3,8503.401361,7653.061224,Bravo
Company 4,Austin,Texas,Jan,Quarter-1,Sales,Sales - Product 1,51020.40816,61224.4898,Victor
Company 4,Austin,Texas,Jan,Quarter-1,Sales,Sales - Product 2,25510.20408,10204.08163,Yankee
Company 4,Austin,Texas,Jan,Quarter-1,Sales,Sales - Product 3,25510.20408,21683.67347,Yankee
Company 4,Austin,Texas,Feb,Quarter-1,Sales,Sales - Product 1,51020.40816,61224.4898,Victor
Company 4,Austin,Texas,Feb,Quarter-1,Sales,Sales - Product 2,25510.20408,10204.08163,Yankee
Company 4,Austin,Texas,Feb,Quarter-1,Sales,Sales - Product 3,25510.20408,20408.16327,Yankee
Company 4,Austin,Texas,Mar,Quarter-1,Sales,Sales - Product 1,51020.40816,61224.4898,Victor
Company 4,Austin,Texas,Mar,Quarter-1,Sales,Sales - Product 2,25510.20408,10204.08163,Yankee
Company 4,Austin,Texas,Mar,Quarter-1,Sales,Sales - Product 3,25510.20408,21938.77551,Yankee
Company 4,Austin,Texas,April,Quarter-2,Sales,Sales - Product 1,51020.40816,48469.38776,Victor
Company 4,Austin,Texas,April,Quarter-2,Sales,Sales - Product 2,25510.20408,10204.08163,Yankee
Company 4,Austin,Texas,April,Quarter-2,Sales,Sales - Product 3,25510.20408,22959.18367,Yankee
Company 4,Austin,Texas,May,Quarter-2,Sales,Sales - Product 1,51020.40816,48469.38776,Victor
Company 4,Austin,Texas,May,Quarter-2,Sales,Sales - Product 2,25510.20408,10204.08163,Yankee
Company 4,Austin,Texas,May,Quarter-2,Sales,Sales - Product 3,25510.20408,28061.22449,Yankee
Company 4,Austin,Texas,June,Quarter-2,Sales,Sales - Product 1,51020.40816,48469.38776,Victor
Company 4,Austin,Texas,June,Quarter-2,Sales,Sales - Product 2,25510.20408,10204.08163,Yankee
Company 4,Austin,Texas,June,Quarter-2,Sales,Sales - Product 3,25510.20408,30612.2449,Yankee
Company 4,Austin,Texas,July,Quarter-3,Sales,Sales - Product 1,51020.40816,48469.38776,Victor
Company 4,Austin,Texas,July,Quarter-3,Sales,Sales - Product 2,25510.20408,10204.08163,Yankee
Company 4,Austin,Texas,July,Quarter-3,Sales,Sales - Product 3,25510.20408,19132.65306,Yankee
Company 4,Austin,Texas,Aug,Quarter-3,Sales,Sales - Product 1,51020.40816,48469.38776,Victor
Company 4,Austin,Texas,Aug,Quarter-3,Sales,Sales - Product 2,25510.20408,10204.08163,Yankee
Company 4,Austin,Texas,Aug,Quarter-3,Sales,Sales - Product 3,25510.20408,19132.65306,Yankee
Company 4,Austin,Texas,Sept,Quarter-3,Sales,Sales - Product 1,51020.40816,86734.69388,Victor
Company 4,Austin,Texas,Sept,Quarter-3,Sales,Sales - Product 2,25510.20408,10204.08163,Yankee
Company 4,Austin,Texas,Sept,Quarter-3,Sales,Sales - Product 3,25510.20408,19132.65306,Yankee
Company 4,Austin,Texas,Oct,Quarter-4,Sales,Sales - Product 1,51020.40816,86734.69388,Victor
Company 4,Austin,Texas,Oct,Quarter-4,Sales,Sales - Product 2,25510.20408,10204.08163,Yankee
Company 4,Austin,Texas,Oct,Quarter-4,Sales,Sales - Product 3,25510.20408,19132.65306,Yankee
Company 4,Austin,Texas,Nov,Quarter-4,Sales,Sales - Product 1,51020.40816,86734.69388,Victor
Company 4,Austin,Texas,Nov,Quarter-4,Sales,Sales - Product 2,25510.20408,22959.18367,Yankee
Company 4,Austin,Texas,Nov,Quarter-4,Sales,Sales - Product 3,25510.20408,19132.65306,Yankee
Company 4,Austin,Texas,Dec,Quarter-4,Sales,Sales - Product 1,51020.40816,86734.69388,Victor
Company 4,Austin,Texas,Dec,Quarter-4,Sales,Sales - Product 2,25510.20408,22959.18367,Yankee
Company 4,Austin,Texas,Dec,Quarter-4,Sales,Sales - Product 3,25510.20408,22959.18367,Yankee
Company 5,Houston,Texas,Jan,Quarter-1,Sales,Sales - Product 1,68027.21088,81632.65306,Victor
Company 5,Houston,Texas,Jan,Quarter-1,Sales,Sales - Product 2,34013.60544,13605.44218,Yankee
Company 5,Houston,Texas,Jan,Quarter-1,Sales,Sales - Product 3,34013.60544,28911.56463,Yankee
Company 5,Houston,Texas,Feb,Quarter-1,Sales,Sales - Product 1,68027.21088,81632.65306,Victor
Company 5,Houston,Texas,Feb,Quarter-1,Sales,Sales - Product 2,34013.60544,13605.44218,Yankee
Company 5,Houston,Texas,Feb,Quarter-1,Sales,Sales - Product 3,34013.60544,27210.88435,Yankee
Company 5,Houston,Texas,Mar,Quarter-1,Sales,Sales - Product 1,68027.21088,81632.65306,Victor
Company 5,Houston,Texas,Mar,Quarter-1,Sales,Sales - Product 2,34013.60544,13605.44218,Yankee
Company 5,Houston,Texas,Mar,Quarter-1,Sales,Sales - Product 3,34013.60544,29251.70068,Yankee
Company 5,Houston,Texas,April,Quarter-2,Sales,Sales - Product 1,68027.21088,64625.85034,Victor
Company 5,Houston,Texas,April,Quarter-2,Sales,Sales - Product 2,34013.60544,13605.44218,Yankee
Company 5,Houston,Texas,April,Quarter-2,Sales,Sales - Product 3,34013.60544,30612.2449,Yankee
Company 5,Houston,Texas,May,Quarter-2,Sales,Sales - Product 1,68027.21088,64625.85034,Victor
Company 5,Houston,Texas,May,Quarter-2,Sales,Sales - Product 2,34013.60544,13605.44218,Yankee
Company 5,Houston,Texas,May,Quarter-2,Sales,Sales - Product 3,34013.60544,37414.96599,Yankee
Company 5,Houston,Texas,June,Quarter-2,Sales,Sales - Product 1,68027.21088,64625.85034,Victor
Company 5,Houston,Texas,June,Quarter-2,Sales,Sales - Product 2,34013.60544,13605.44218,Yankee
Company 5,Houston,Texas,June,Quarter-2,Sales,Sales - Product 3,34013.60544,40816.32653,Yankee
Company 5,Houston,Texas,July,Quarter-3,Sales,Sales - Product 1,68027.21088,64625.85034,Victor
Company 5,Houston,Texas,July,Quarter-3,Sales,Sales - Product 2,34013.60544,13605.44218,Yankee
Company 5,Houston,Texas,July,Quarter-3,Sales,Sales - Product 3,34013.60544,25510.20408,Yankee
Company 5,Houston,Texas,Aug,Quarter-3,Sales,Sales - Product 1,68027.21088,64625.85034,Victor
Company 5,Houston,Texas,Aug,Quarter-3,Sales,Sales - Product 2,34013.60544,13605.44218,Yankee
Company 5,Houston,Texas,Aug,Quarter-3,Sales,Sales - Product 3,34013.60544,25510.20408,Yankee
Company 5,Houston,Texas,Sept,Quarter-3,Sales,Sales - Product 1,68027.21088,115646.2585,Victor
Company 5,Houston,Texas,Sept,Quarter-3,Sales,Sales - Product 2,34013.60544,13605.44218,Yankee
Company 5,Houston,Texas,Sept,Quarter-3,Sales,Sales - Product 3,34013.60544,25510.20408,Yankee
Company 5,Houston,Texas,Oct,Quarter-4,Sales,Sales - Product 1,68027.21088,115646.2585,Victor
Company 5,Houston,Texas,Oct,Quarter-4,Sales,Sales - Product 2,34013.60544,13605.44218,Yankee
Company 5,Houston,Texas,Oct,Quarter-4,Sales,Sales - Product 3,34013.60544,25510.20408,Yankee
Company 5,Houston,Texas,Nov,Quarter-4,Sales,Sales - Product 1,68027.21088,115646.2585,Victor
Company 5,Houston,Texas,Nov,Quarter-4,Sales,Sales - Product 2,34013.60544,30612.2449,Yankee
Company 5,Houston,Texas,Nov,Quarter-4,Sales,Sales - Product 3,34013.60544,25510.20408,Yankee
Company 5,Houston,Texas,Dec,Quarter-4,Sales,Sales - Product 1,68027.21088,115646.2585,Victor
Company 5,Houston,Texas,Dec,Quarter-4,Sales,Sales - Product 2,34013.60544,30612.2449,Yankee
Company 5,Houston,Texas,Dec,Quarter-4,Sales,Sales - Product 3,34013.60544,30612.2449,Yankee
Company 6,Miami,Florida,Jan,Quarter-1,Sales,Sales - Product 1,141723.356,170068.0272,Victor
Company 6,Miami,Florida,Jan,Quarter-1,Sales,Sales - Product 2,70861.678,28344.6712,Yankee
Company 6,Miami,Florida,Jan,Quarter-1,Sales,Sales - Product 3,70861.678,60232.4263,Yankee
Company 6,Miami,Florida,Feb,Quarter-1,Sales,Sales - Product 1,141723.356,170068.0272,Victor
Company 6,Miami,Florida,Feb,Quarter-1,Sales,Sales - Product 2,70861.678,28344.6712,Yankee
Company 6,Miami,Florida,Feb,Quarter-1,Sales,Sales - Product 3,70861.678,56689.3424,Yankee
Company 6,Miami,Florida,Mar,Quarter-1,Sales,Sales - Product 1,141723.356,170068.0272,Victor
Company 6,Miami,Florida,Mar,Quarter-1,Sales,Sales - Product 2,70861.678,28344.6712,Yankee
Company 6,Miami,Florida,Mar,Quarter-1,Sales,Sales - Product 3,70861.678,60941.04308,Yankee
Company 6,Miami,Florida,April,Quarter-2,Sales,Sales - Product 1,141723.356,134637.1882,Victor
Company 6,Miami,Florida,April,Quarter-2,Sales,Sales - Product 2,70861.678,28344.6712,Yankee
Company 6,Miami,Florida,April,Quarter-2,Sales,Sales - Product 3,70861.678,63775.5102,Yankee
Company 6,Miami,Florida,May,Quarter-2,Sales,Sales - Product 1,141723.356,134637.1882,Victor
Company 6,Miami,Florida,May,Quarter-2,Sales,Sales - Product 2,70861.678,28344.6712,Yankee
Company 6,Miami,Florida,May,Quarter-2,Sales,Sales - Product 3,70861.678,77947.8458,Yankee
Company 6,Miami,Florida,June,Quarter-2,Sales,Sales - Product 1,141723.356,134637.1882,Victor
Company 6,Miami,Florida,June,Quarter-2,Sales,Sales - Product 2,70861.678,28344.6712,Yankee
Company 6,Miami,Florida,June,Quarter-2,Sales,Sales - Product 3,70861.678,85034.01361,Yankee
Company 6,Miami,Florida,July,Quarter-3,Sales,Sales - Product 1,141723.356,134637.1882,Victor
Company 6,Miami,Florida,July,Quarter-3,Sales,Sales - Product 2,70861.678,28344.6712,Yankee
Company 6,Miami,Florida,July,Quarter-3,Sales,Sales - Product 3,70861.678,53146.2585,Yankee
Company 6,Miami,Florida,Aug,Quarter-3,Sales,Sales - Product 1,141723.356,134637.1882,Victor
Company 6,Miami,Florida,Aug,Quarter-3,Sales,Sales - Product 2,70861.678,28344.6712,Yankee
Company 6,Miami,Florida,Aug,Quarter-3,Sales,Sales - Product 3,70861.678,53146.2585,Yankee
Company 6,Miami,Florida,Sept,Quarter-3,Sales,Sales - Product 1,141723.356,240929.7052,Victor
Company 6,Miami,Florida,Sept,Quarter-3,Sales,Sales - Product 2,70861.678,28344.6712,Yankee
Company 6,Miami,Florida,Sept,Quarter-3,Sales,Sales - Product 3,70861.678,53146.2585,Yankee
Company 6,Miami,Florida,Oct,Quarter-4,Sales,Sales - Product 1,141723.356,240929.7052,Victor
Company 6,Miami,Florida,Oct,Quarter-4,Sales,Sales - Product 2,70861.678,28344.6712,Yankee
Company 6,Miami,Florida,Oct,Quarter-4,Sales,Sales - Product 3,70861.678,53146.2585,Yankee
Company 6,Miami,Florida,Nov,Quarter-4,Sales,Sales - Product 1,141723.356,240929.7052,Victor
Company 6,Miami,Florida,Nov,Quarter-4,Sales,Sales - Product 2,70861.678,63775.5102,Yankee
Company 6,Miami,Florida,Nov,Quarter-4,Sales,Sales - Product 3,70861.678,53146.2585,Yankee
Company 6,Miami,Florida,Dec,Quarter-4,Sales,Sales - Product 1,141723.356,240929.7052,Victor
Company 6,Miami,Florida,Dec,Quarter-4,Sales,Sales - Product 2,70861.678,63775.5102,Yankee
Company 6,Miami,Florida,Dec,Quarter-4,Sales,Sales - Product 3,70861.678,63775.5102,Yankee
Company 7,Tampa,Florida,Jan,Quarter-1,Sales,Sales - Product 1,56689.3424,68027.21088,Victor
Company 7,Tampa,Florida,Jan,Quarter-1,Sales,Sales - Product 2,28344.6712,11337.86848,Yankee
Company 7,Tampa,Florida,Jan,Quarter-1,Sales,Sales - Product 3,28344.6712,24092.97052,Yankee
Company 7,Tampa,Florida,Feb,Quarter-1,Sales,Sales - Product 1,56689.3424,68027.21088,Victor
Company 7,Tampa,Florida,Feb,Quarter-1,Sales,Sales - Product 2,28344.6712,11337.86848,Yankee
Company 7,Tampa,Florida,Feb,Quarter-1,Sales,Sales - Product 3,28344.6712,22675.73696,Yankee
Company 7,Tampa,Florida,Mar,Quarter-1,Sales,Sales - Product 1,56689.3424,68027.21088,Victor
Company 7,Tampa,Florida,Mar,Quarter-1,Sales,Sales - Product 2,28344.6712,11337.86848,Yankee
Company 7,Tampa,Florida,Mar,Quarter-1,Sales,Sales - Product 3,28344.6712,24376.41723,Yankee
Company 7,Tampa,Florida,April,Quarter-2,Sales,Sales - Product 1,56689.3424,53854.87528,Victor
Company 7,Tampa,Florida,April,Quarter-2,Sales,Sales - Product 2,28344.6712,11337.86848,Yankee
Company 7,Tampa,Florida,April,Quarter-2,Sales,Sales - Product 3,28344.6712,25510.20408,Yankee
Company 7,Tampa,Florida,May,Quarter-2,Sales,Sales - Product 1,56689.3424,53854.87528,Victor
Company 7,Tampa,Florida,May,Quarter-2,Sales,Sales - Product 2,28344.6712,11337.86848,Yankee
Company 7,Tampa,Florida,May,Quarter-2,Sales,Sales - Product 3,28344.6712,31179.13832,Yankee
Company 7,Tampa,Florida,June,Quarter-2,Sales,Sales - Product 1,56689.3424,53854.87528,Victor
Company 7,Tampa,Florida,June,Quarter-2,Sales,Sales - Product 2,28344.6712,11337.86848,Yankee
Company 7,Tampa,Florida,June,Quarter-2,Sales,Sales - Product 3,28344.6712,34013.60544,Yankee
Company 7,Tampa,Florida,July,Quarter-3,Sales,Sales - Product 1,56689.3424,53854.87528,Victor
Company 7,Tampa,Florida,July,Quarter-3,Sales,Sales - Product 2,28344.6712,11337.86848,Yankee
Company 7,Tampa,Florida,July,Quarter-3,Sales,Sales - Product 3,28344.6712,21258.5034,Yankee
Company 7,Tampa,Florida,Aug,Quarter-3,Sales,Sales - Product 1,56689.3424,53854.87528,Victor
Company 7,Tampa,Florida,Aug,Quarter-3,Sales,Sales - Product 2,28344.6712,11337.86848,Yankee
Company 7,Tampa,Florida,Aug,Quarter-3,Sales,Sales - Product 3,28344.6712,21258.5034,Yankee
Company 7,Tampa,Florida,Sept,Quarter-3,Sales,Sales - Product 1,56689.3424,96371.88209,Victor
Company 7,Tampa,Florida,Sept,Quarter-3,Sales,Sales - Product 2,28344.6712,11337.86848,Yankee
Company 7,Tampa,Florida,Sept,Quarter-3,Sales,Sales - Product 3,28344.6712,21258.5034,Yankee
Company 7,Tampa,Florida,Oct,Quarter-4,Sales,Sales - Product 1,56689.3424,96371.88209,Victor
Company 7,Tampa,Florida,Oct,Quarter-4,Sales,Sales - Product 2,28344.6712,11337.86848,Yankee
Company 7,Tampa,Florida,Oct,Quarter-4,Sales,Sales - Product 3,28344.6712,21258.5034,Yankee
Company 7,Tampa,Florida,Nov,Quarter-4,Sales,Sales - Product 1,56689.3424,96371.88209,Victor
Company 7,Tampa,Florida,Nov,Quarter-4,Sales,Sales - Product 2,28344.6712,25510.20408,Yankee
Company 7,Tampa,Florida,Nov,Quarter-4,Sales,Sales - Product 3,28344.6712,21258.5034,Yankee
Company 7,Tampa,Florida,Dec,Quarter-4,Sales,Sales - Product 1,56689.3424,96371.88209,Victor
Company 7,Tampa,Florida,Dec,Quarter-4,Sales,Sales - Product 2,28344.6712,25510.20408,Yankee
Company 7,Tampa,Florida,Dec,Quarter-4,Sales,Sales - Product 3,28344.6712,25510.20408,Yankee
Company 8,Denver,Colorado,Jan,Quarter-1,Sales,Sales - Product 1,11337.86848,13605.44218,Victor
Company 8,Denver,Colorado,Jan,Quarter-1,Sales,Sales - Product 2,5668.93424,2267.573696,Yankee
Company 8,Denver,Colorado,Jan,Quarter-1,Sales,Sales - Product 3,5668.93424,4818.594104,Yankee
Company 8,Denver,Colorado,Feb,Quarter-1,Sales,Sales - Product 1,11337.86848,13605.44218,Victor
Company 8,Denver,Colorado,Feb,Quarter-1,Sales,Sales - Product 2,5668.93424,2267.573696,Yankee
Company 8,Denver,Colorado,Feb,Quarter-1,Sales,Sales - Product 3,5668.93424,4535.147392,Yankee
Company 8,Denver,Colorado,Mar,Quarter-1,Sales,Sales - Product 1,11337.86848,13605.44218,Victor
Company 8,Denver,Colorado,Mar,Quarter-1,Sales,Sales - Product 2,5668.93424,2267.573696,Yankee
Company 8,Denver,Colorado,Mar,Quarter-1,Sales,Sales - Product 3,5668.93424,4875.283447,Yankee
Company 8,Denver,Colorado,April,Quarter-2,Sales,Sales - Product 1,11337.86848,10770.97506,Victor
